case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,naic_cd,naics_code_description,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date
1531281,365 Electrician,365 Electrician,2498 Roll Drive,San Diego,CA,92154,238210,Electrical Contractors and Other Wiring Installation Contractors,0,0,0,0,0,11/18/2006,11/17/2008
1642548,365 Electrician,"365 Electrician, Inc.","9227 Haven Ave., Suite 330",Rancho Cucamonga,CA,91730,238210,Electrical Contractors and Other Wiring Installation Contractors,11,0,9,1096.25,9,1/9/2011,1/1/2012
1639542,365 Electrician,"365 Electrician, Inc.",9227 Haven Ave Suite 330,Rancho Cucamonga,CA,91730,238210,Electrical Contractors and Other Wiring Installation Contractors,3,0,3,6530.32,3,8/7/2011,1/1/2012
1672496,Three Sixty-Five Electrician,365 Electrician Inc,15723 Parkhouse Dr 82,Fontana,CA,92336,238210,Electrical Contractors and Other Wiring Installation Contractors,0,0,0,0,0,1/2/2012,10/26/2012
1697914,3D Land & Farms - AGER,"3D Land & Farms, LLC",2516 SW 202 Street,Newberry,FL,32669,111219,Other Vegetable (except Potato) and Melon Farming,4,700,0,0,0,6/3/2013,6/18/2013
1794354,3D Land & Farms (AGER),"3D Land & Farms, LLC",2561 SW 202 Street,Newberry,FL,32669,111219,Other Vegetable (except Potato) and Melon Farming,2,400,0,0,0,5/15/2016,6/14/2016
1731857,"3D Land & Farms, LLC (Ager)","3D Land & Farms, LLC",2516 SW 202nd street,Newberry,FL,32669,11121,Vegetable and Melon Farming,1,0,0,0,0,6/19/2013,6/11/2014
1856384,"3D Land & Farms, LLC (AGER)","3D Land & Farms, LLC",2516 SW 202 Street,Newberry,FL,32669,111339,Other Noncitrus Fruit Farming,1,1465.8,0,0,0,5/20/2018,6/13/2018
1661703,3S Network,"3S Network, Inc.",16301 NE 8th St.,Bellevue,WA,98008,541690,Other Scientific and Technical Consulting Services,2,0,1,7302,1,6/23/2011,2/16/2012
1708471,3S Network,"3S Network, Inc.",30398 Esperanza,Rancho Santa Margarita,CA,92688,541690,Other Scientific and Technical Consulting Services,4,0,1,12755.8,1,3/23/2011,7/13/2013
1528710,"3S Network, Inc.","3S Network, Inc.","16301 NE 8th St., #217",Bellevue,WA,98008,517910,Other Telecommunications,155,0,155,58143.32,155,1/1/2007,12/31/2008
