YEAR,AC,CANDIDATE,SEX,PARTY,VOTES
1957,PARASSALA,KUNJUKRISHNAN NADAR M.,M,INC,"16742.0"
1957,PARASSALA,KRISHNA PILLAI K.,M,PSP,"8338.0"
1957,PARASSALA,STUART.,M,IND,"5831.0"
1957,PARASSALA,RETNASWAMY N.,M,CPI,"5816.0"
1957,PARASSALA,KUNJU MOOSA KUNJU I.,M,IND,"4466.0"
1957,NEYYATTINKARA,JANARDHANAN NAIR O.,M,CPI,"18812.0"
1957,NEYYATTINKARA,KRISHNA PILLAI N. K.,M,PSP,"16558.0"
1957,NEYYATTINKARA,CHELLAPPAN NADAR P.,M,RSP,"8490.0"
1957,NEYYATTINKARA,MADHAVAN PILLAI P.,M,INC,"3499.0"
1957,VILAPPIL,SREEDHAR G. PONNARA,M,PSP,"18221.0"
1957,VILAPPIL,SURENDRANATH K. V.,M,CPI,"14278.0"
1957,VILAPPIL,KUNJUKRISHNAN N.,M,IND,"5771.0"
1957,NEMOM,SADASIVAN A.,M,CPI,"15998.0"
1957,NEMOM,VISWAMBHARAN P.,M,PSP,"14159.0"
1957,NEMOM,KUTTAN NADAR R.,M,INC,"11933.0"
1957,TRIVANDRUM I,EAPAN E. P.,M,PSP,"15466.0"
1957,TRIVANDRUM I,KRISHNAN NAIR K.,M,IND,"13418.0"
1957,TRIVANDRUM I,KRISHNAN NAIR K.,M,IND,"13418.0"
1957,TRIVANDRUM I,LOPEZ.,M,INC,"5945.0"
1957,TRIVANDRUM I,VENUGOPAL G.,M,RSP,"3031.0"
1957,TIRVANDRUM I I,THANU PILLAI A.,M,PSP,"21816.0"
1957,TIRVANDRUM I I,ANIRUDHAN K.,M,CPI,"17082.0"
1957,TIRVANDRUM I I,JANARDHANAN T.P.,M,INC,"3358.0"
1957,ULLAL,SREEDHARAN V.,M,CPI,"16904.0"
1957,ULLAL,ALIKUNJU SASTRI M.,M,PSP,"14182.0"
1957,ULLAL,NAGAPPAN NAIR V.,M,INC,"6445.0"
1957,ULLAL,PANKAJAKSHAN K.,M,RSP,"1921.0"
1957,ULLAL,FELIX FERNANDEZ,M,IND,"409.0"
1957,ARIANAD,BALAKRISHNA PILLAI R.,M,CPI,"16728.0"
1957,ARIANAD,KESAVAN NAIR R.,M,INC,"6987.0"
1957,ARIANAD,KESAVAN NAIR R.,M,INC,"6987.0"
1957,ARIANAD,RAMACHANDRAN NAIR K. G.,M,RSP,"5351.0"
1957,ARIANAD,THOMPSON JOSEPH,M,IND,"4383.0"
1957,NEDUMANGAD,NEELAKANDARU PANDARATHIL N.,M,CPI,"20553.0"
1957,NEDUMANGAD,SOMASEKHARAN NAIR K.,M,PSP,"7888.0"
1957,NEDUMANGAD,AHAMMED KANNU M.,M,INC,"3700.0"
1957,NEDUMANGAD,SUBBIAH PILLAI A.,M,IND,"2754.0"
1957,ATTINGAL,PRAKASAM R.,M,CPI,"24328.0"
1957,ATTINGAL,GOPALA PILLAI,M,PSP,"11151.0"
1957,ATTINGAL,VASUKUTTY P.,M,INC,"7919.0"
1957,VARKALA,ABDUL MAJEED T. A.,M,CPI,"41683.0"
1957,VARKALA,SIVADASAN K,M,CPI,"31454.0"
1957,VARKALA,KRISHNA PILLAI R.,M,INC,"20870.0"
1957,VARKALA,GOPALAN K,M,INC,"15464.0"
1957,VARKALA,KUNJUKRISHNAN P.,M,RSP,"14578.0"
1957,VARKALA,KUNJAN P.,M,PSP,"9855.0"
1957,VARKALA,SREEKANTAN NAIR C. N.,M,RSP,"9555.0"
1957,VARKALA,GANGADHARAN O.,M,IND,"2333.0"
1957,ERAVIPURAM,RAVEENDRAN,M,CPI,"19122.0"
1957,ERAVIPURAM,KUNJU SANKARA PILLAI V.,M,PSP,"8762.0"
1957,ERAVIPURAM,RAMACHANDRAN P.,M,INC,"7467.0"
1957,ERAVIPURAM,BALAKRISHNAN K.,M,RSP,"5197.0"
1957,ERAVIPURAM,REGIS PUNNASLERY,M,IND,"1163.0"
1957,ERAVIPURAM,MOHAMMED BASHEER M. N.,M,IND,"1144.0"
1957,QUILON,A. A. RAHIM,M,INC,"20367.0"
1957,QUILON,DIVAKARAN T. K.,M,RSP,"12571.0"
1957,QUILON,CHITHARANJAN,M,CPI,"11817.0"
1957,QUILON,GOVINDA PILLAI M.,M,IND,"2154.0"
1957,THRIKKADAVUR,KARUNAKARAN K.,M,CPI,"33782.0"
1957,THRIKKADAVUR,T. KRISHNAN,M,INC,"32596.0"
1957,THRIKKADAVUR,SUKUMARAN P. K.,M,CPI,"28602.0"
1957,THRIKKADAVUR,C. M. STEPHEN,M,INC,"26193.0"
1957,THRIKKADAVUR,CHANDRASEKHARAN,M,RSP,"24556.0"
1957,THRIKKADAVUR,PRAKULAM BHASI. P,M,RSP,"19692.0"
1957,KARUNAGAPALLY,KUNJUKRISHNAN P.,M,INC,"13709.0"
1957,KARUNAGAPALLY,P. K. KUNJU,M,PSP,"13063.0"
1957,KARUNAGAPALLY,BABY JOHN,M,RSP,"12307.0"
1957,KARUNAGAPALLY,JANARDHANA KURUP G.,M,CPI,"11369.0"
1957,KRISHNAPURAM,KARTHIKEYAN G.,M,CPI,"23963.0"
1957,KRISHNAPURAM,SEKHARA PANICKER K.,M,INC,"14493.0"
1957,KRISHNAPURAM,IBRAHIMKUTTY C. M.,M,PSP,"6707.0"
1957,KRISHNAPURAM,YESODHARAN P. K.,M,RSP,"1462.0"
1957,KAYAMKULAM,AYSHA BAI K. O.,F,CPI,"27067.0"
1957,KAYAMKULAM,SAROJINI,F,INC,"13138.0"
1957,KAYAMKULAM,KUNJUKRISHNA PILLAI P.,M,PSP,"10262.0"
1957,KARTHIGAPALLY,SUGATHAN R.,M,CPI,"20978.0"
1957,KARTHIGAPALLY,VELU PILLAI G.,M,INC,"14887.0"
1957,KARTHIGAPALLY,ACHUTHAN A.,M,PSP,"8520.0"
1957,KARTHIGAPALLY,KUMARA PILLAI K. K.,M,RSP,"3419.0"
1957,HARIPAD,RAMAKRISHNA PILLAI V.,M,IND,"20184.0"
