Unnamed: 0,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
167385,KERALA,1957,15 KARUNAGAPALLY,1 KUNJUKRISHNAN P.,M,,,INC,13709.0
167386,KERALA,1957,15 KARUNAGAPALLY,2 P. K. KUNJU,M,,,PSP,13063.0
167387,KERALA,1957,15 KARUNAGAPALLY,3 BABY JOHN,M,,,RSP,12307.0
167388,KERALA,1957,15 KARUNAGAPALLY,4 JANARDHANA KURUP G.,M,,,CPI,11369.0
167778,KERALA,1960,15 KARUNAGAPALLY,1 BABY JOHN,M,,,IND,21238.0
167779,KERALA,1960,15 KARUNAGAPALLY,2 KUNJUKRISHNAN,M,,,INC,21030.0
167780,KERALA,1960,15 KARUNAGAPALLY,3 ABDUL RAZZAQUE,M,,,CPI,15737.0
168546,KERALA,1965,115 KARUNAGAPALLY,1 KUNJUKRISHNAN,M,,,CON,19762.0
168547,KERALA,1965,115 KARUNAGAPALLY,2 BHASI,M,,,IND,17468.0
168548,KERALA,1965,115 KARUNAGAPALLY,3 VASUDEVAN,M,,,IND,8711.0
168549,KERALA,1965,115 KARUNAGAPALLY,4 POOKUNJU,M,,,IND,8104.0
168550,KERALA,1965,115 KARUNAGAPALLY,5 KUNJU KUNJU,M,,,IND,2473.0
169006,KERALA,1967,115 KARUNAGAPALLY,1 B . JOHN,M,,,IND,32227.0
169007,KERALA,1967,115 KARUNAGAPALLY,2 K . V . S . PANNIKAR,M,,,INC,20184.0
169008,KERALA,1967,115 KARUNAGAPALLY,3 K . JALALUDHIN,M,,,KEC,1729.0
169009,KERALA,1967,115 KARUNAGAPALLY,4 K . CHELLAPPAN,M,,,IND,949.0
169501,KERALA,1970,115 KARUNAGAPALLY,1 BABY JOHN,M,,,RSP,36681.0
169502,KERALA,1970,115 KARUNAGAPALLY,2 SAMBA SIVAN,M,,,IND,24105.0
169503,KERALA,1970,115 KARUNAGAPALLY,3 P. MOHAMMED KUNJU,M,,,IND,1791.0
169504,KERALA,1970,115 KARUNAGAPALLY,4 SIVARAM PILLAI,M,,,BJS,759.0
169505,KERALA,1970,115 KARUNAGAPALLY,5 SUGATHANANDA PANICKER,M,,,IND,178.0
169506,KERALA,1970,115 KARUNAGAPALLY,6 ABDURAHIMAN KUNJU,M,,,IND,140.0
170061,KERALA,1977,121 KARUNAGAPALLY,1 P.M. SHERIFF,M,,,CPI,29739.0
170062,KERALA,1977,121 KARUNAGAPALLY,2 C.P. KARUNNAKARAN PILLAI,M,,,CPM,24255.0
170063,KERALA,1977,121 KARUNAGAPALLY,3 T.V. GOPI,M,,,IND,8217.0
170675,KERALA,1980,121 KARUNAGAPALLY,1 B. M. SHERIFF,M,,,CPI,35831.0
170676,KERALA,1980,121 KARUNAGAPALLY,2 T. V. VIJAYARAJAN,M,,,IND,33842.0
170677,KERALA,1980,121 KARUNAGAPALLY,3 T. A. ABDUL KHAYYOOM KHADIAR,M,,,IND,573.0
170678,KERALA,1980,121 KARUNAGAPALLY,4 ISMAIL KUNJU,M,,,IND,374.0
171384,KERALA,1982,121 KARUNAGAPALLY,1 T. V. VIJAYARAJAN,M,,,IND,38047.0
171385,KERALA,1982,121 KARUNAGAPALLY,2 B. M SHERIFF,M,,,CPI,34406.0
171386,KERALA,1982,121 KARUNAGAPALLY,3 MANACKAL RAVI,M,,,IND,251.0
173462,KERALA,1991,121 KARUNAGAPALLY,1 P.S SREENIVASAN,M,,,CPI,53576.0
173463,KERALA,1991,121 KARUNAGAPALLY,2 JAMEELA IBRAHIM,F,,,INC,47326.0
173464,KERALA,1991,121 KARUNAGAPALLY,3 THURUTGHIKKAR RAMAKRISHNA PILLAI,M,,,BJP,2916.0
175384,KERALA,2001,121 KARUNAGAPALLY,1 ADV. A N RAJAN BABU,M,,,JPSS,53206.0
175385,KERALA,2001,121 KARUNAGAPALLY,2 K C PILLAI,M,,,CPI,52367.0
175386,KERALA,2001,121 KARUNAGAPALLY,3 T KALESAN,M,,,BJP,2913.0
175387,KERALA,2001,121 KARUNAGAPALLY,4 A A AZEEZ,M,,,IND,1197.0
