YEAR,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
1957,KUNJUKRISHNAN,M,,,INC,"13709.0"
1957,P. K. KUNJU,M,,,PSP,"13063.0"
1957,BABY JOHN,M,,,RSP,"12307.0"
1957,JANARDHANA KURUP G.,M,,,CPI,"11369.0"
1960,BABY JOHN,M,,,IND,"21238.0"
1960,KUNJUKRISHNAN,M,,,INC,"21030.0"
1960,ABDUL RAZZAQUE,M,,,CPI,"15737.0"
1965,KUNJUKRISHNAN,M,,,CON,"19762.0"
1965,BHASI,M,,,IND,"17468.0"
1965,VASUDEVAN,M,,,IND,"8711.0"
1965,POOKUNJU,M,,,IND,"8104.0"
1965,KUNJU KUNJU,M,,,IND,"2473.0"
1967,BABY JOHN,M,,,IND,"32227.0"
1967,K . V . S . PANNIKAR,M,,,INC,"20184.0"
1967,K . JALALUDHIN,M,,,KEC,"1729.0"
1967,K . CHELLAPPAN,M,,,IND,"949.0"
1970,BABY JOHN,M,,,RSP,"36681.0"
1970,SAMBA SIVAN,M,,,IND,"24105.0"
1970,P. MOHAMMED KUNJU,M,,,IND,"1791.0"
1970,SIVARAM PILLAI,M,,,BJS,"759.0"
1970,SUGATHANANDA PANICKER,M,,,IND,"178.0"
1970,ABDURAHIMAN KUNJU,M,,,IND,"140.0"
1977,P.M. SHERIFF,M,,,CPI,"29739.0"
1977,C.P. KARUNNAKARAN PILLAI,M,,,CPM,"24255.0"
1977,T.V. GOPI,M,,,IND,"8217.0"
1980,B. M SHERIFF,M,,,CPI,"35831.0"
1980,T. V. VIJAYARAJAN,M,,,IND,"33842.0"
1980,T. A. ABDUL KHAYYOOM KHADIAR,M,,,IND,"573.0"
1980,ISMAIL KUNJU,M,,,IND,"374.0"
1982,T. V. VIJAYARAJAN,M,,,IND,"38047.0"
1982,B. M SHERIFF,M,,,CPI,"34406.0"
1982,MANACKAL RAVI,M,,,IND,"251.0"
1991,P.S SREENIVASAN,M,,,CPI,"53576.0"
1991,JAMEELA IBRAHIM,F,,,INC,"47326.0"
1991,THURUTGHIKKAR RAMAKRISHNA PILLAI,M,,,BJP,"2916.0"
2001,ADV. A N RAJAN BABU,M,,,JPSS,"53206.0"
2001,K C PILLAI,M,,,CPI,"52367.0"
2001,T KALESAN,M,,,BJP,"2913.0"
2001,A A AZEEZ,M,,,IND,"1197.0"
