,YEAR,AC,CANDIDATE,SEX,PARTY,VOTES
0,1957,1 PARASSALA,1 KUNJUKRISHNAN NADAR M.,M,INC,16742.0
1,1957,1 PARASSALA,2 KRISHNA PILLAI K.,M,PSP,8338.0
2,1957,1 PARASSALA,3 STUART.,M,IND,5831.0
3,1957,1 PARASSALA,4 RETNASWAMY N.,M,CPI,5816.0
4,1957,1 PARASSALA,5 KUNJU MOOSA KUNJU I.,M,IND,4466.0
5,1957,2 NEYYATTINKARA,1 JANARDHANAN NAIR O.,M,CPI,18812.0
6,1957,2 NEYYATTINKARA,2 KRISHNA PILLAI N. K.,M,PSP,16558.0
7,1957,2 NEYYATTINKARA,3 CHELLAPPAN NADAR P.,M,RSP,8490.0
8,1957,2 NEYYATTINKARA,4 MADHAVAN PILLAI P.,M,INC,3499.0
9,1957,3 VILAPPIL,1 SREEDHAR G. PONNARA,M,PSP,18221.0
10,1957,3 VILAPPIL,2 SURENDRANATH K. V.,M,CPI,14278.0
11,1957,3 VILAPPIL,3 KUNJUKRISHNAN N.,M,IND,5771.0
12,1957,4 NEMOM,1 SADASIVAN A.,M,CPI,15998.0
13,1957,4 NEMOM,2 VISWAMBHARAN P.,M,PSP,14159.0
14,1957,4 NEMOM,3 KUTTAN NADAR R.,M,INC,11933.0
15,1957,5 TRIVANDRUM I,1 EAPAN E. P.,M,PSP,15466.0
16,1957,5 TRIVANDRUM I,2 KRISHNAN NAIR K.,M,IND,13418.0
17,1957,5 TRIVANDRUM I,2 KRISHNAN NAIR K.,M,IND,13418.0
18,1957,5 TRIVANDRUM I,3 LOPEZ.,M,INC,5945.0
19,1957,5 TRIVANDRUM I,4 VENUGOPAL G.,M,RSP,3031.0
20,1957,6 TIRVANDRUM I I,1 THANU PILLAI A.,M,PSP,21816.0
21,1957,6 TIRVANDRUM I I,2 ANIRUDHAN K.,M,CPI,17082.0
22,1957,6 TIRVANDRUM I I,3 JANARDHANAN T.P.,M,INC,3358.0
23,1957,7 ULLAL,1 SREEDHARAN V.,M,CPI,16904.0
24,1957,7 ULLAL,2 ALIKUNJU SASTRI M.,M,PSP,14182.0
25,1957,7 ULLAL,3 NAGAPPAN NAIR V.,M,INC,6445.0
26,1957,7 ULLAL,4 PANKAJAKSHAN K.,M,RSP,1921.0
27,1957,7 ULLAL,5 FELIX FERNANDEZ,M,IND,409.0
28,1957,8 ARIANAD,1 BALAKRISHNA PILLAI R.,M,CPI,16728.0
29,1957,8 ARIANAD,2 KESAVAN NAIR R.,M,INC,6987.0
30,1957,8 ARIANAD,2 KESAVAN NAIR R.,M,INC,6987.0
31,1957,8 ARIANAD,3 RAMACHANDRAN NAIR K. G.,M,RSP,5351.0
32,1957,8 ARIANAD,4 THOMPSON JOSEPH,M,IND,4383.0
33,1957,9 NEDUMANGAD,1 NEELAKANDARU PANDARATHIL N.,M,CPI,20553.0
34,1957,9 NEDUMANGAD,2 SOMASEKHARAN NAIR K.,M,PSP,7888.0
35,1957,9 NEDUMANGAD,3 AHAMMED KANNU M.,M,INC,3700.0
36,1957,9 NEDUMANGAD,4 SUBBIAH PILLAI A.,M,IND,2754.0
37,1957,10 ATTINGAL,1 PRAKASAM R.,M,CPI,24328.0
38,1957,10 ATTINGAL,2 GOPALA PILLAI,M,PSP,11151.0
