Unnamed: 0,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
167321,KERALA,1957,1 PARASSALA,1 KUNJUKRISHNAN NADAR M.,M,,,INC,16742.0
167322,KERALA,1957,1 PARASSALA,2 KRISHNA PILLAI K.,M,,,PSP,8338.0
167323,KERALA,1957,1 PARASSALA,3 STUART.,M,,,IND,5831.0
167324,KERALA,1957,1 PARASSALA,4 RETNASWAMY N.,M,,,CPI,5816.0
167325,KERALA,1957,1 PARASSALA,5 KUNJU MOOSA KUNJU I.,M,,,IND,4466.0
167326,KERALA,1957,2 NEYYATTINKARA,1 JANARDHANAN NAIR O.,M,,,CPI,18812.0
167327,KERALA,1957,2 NEYYATTINKARA,2 KRISHNA PILLAI N. K.,M,,,PSP,16558.0
167328,KERALA,1957,2 NEYYATTINKARA,3 CHELLAPPAN NADAR P.,M,,,RSP,8490.0
167329,KERALA,1957,2 NEYYATTINKARA,4 MADHAVAN PILLAI P.,M,,,INC,3499.0
167330,KERALA,1957,3 VILAPPIL,1 SREEDHAR G. PONNARA,M,,,PSP,18221.0
167331,KERALA,1957,3 VILAPPIL,2 SURENDRANATH K. V.,M,,,CPI,14278.0
167332,KERALA,1957,3 VILAPPIL,3 KUNJUKRISHNAN N.,M,,,IND,5771.0
167333,KERALA,1957,4 NEMOM,1 SADASIVAN A.,M,,,CPI,15998.0
167334,KERALA,1957,4 NEMOM,2 VISWAMBHARAN P.,M,,,PSP,14159.0
167335,KERALA,1957,4 NEMOM,3 KUTTAN NADAR R.,M,,,INC,11933.0
167336,KERALA,1957,5 TRIVANDRUM I,1 EAPAN E. P.,M,,,PSP,15466.0
167337,KERALA,1957,5 TRIVANDRUM I,2 KRISHNAN NAIR K.,M,,,IND,13418.0
167338,KERALA,1957,5 TRIVANDRUM I,2 KRISHNAN NAIR K.,M,,,IND,13418.0
167339,KERALA,1957,5 TRIVANDRUM I,3 LOPEZ.,M,,,INC,5945.0
167340,KERALA,1957,5 TRIVANDRUM I,4 VENUGOPAL G.,M,,,RSP,3031.0
167341,KERALA,1957,6 TIRVANDRUM I I,1 THANU PILLAI A.,M,,,PSP,21816.0
167342,KERALA,1957,6 TIRVANDRUM I I,2 ANIRUDHAN K.,M,,,CPI,17082.0
167343,KERALA,1957,6 TIRVANDRUM I I,3 JANARDHANAN T.P.,M,,,INC,3358.0
167344,KERALA,1957,7 ULLAL,1 SREEDHARAN V.,M,,,CPI,16904.0
167345,KERALA,1957,7 ULLAL,2 ALIKUNJU SASTRI M.,M,,,PSP,14182.0
167346,KERALA,1957,7 ULLAL,3 NAGAPPAN NAIR V.,M,,,INC,6445.0
167347,KERALA,1957,7 ULLAL,4 PANKAJAKSHAN K.,M,,,RSP,1921.0
167348,KERALA,1957,7 ULLAL,5 FELIX FERNANDEZ,M,,,IND,409.0
167349,KERALA,1957,8 ARIANAD,1 BALAKRISHNA PILLAI R.,M,,,CPI,16728.0
167350,KERALA,1957,8 ARIANAD,2 KESAVAN NAIR R.,M,,,INC,6987.0
167351,KERALA,1957,8 ARIANAD,2 KESAVAN NAIR R.,M,,,INC,6987.0
167352,KERALA,1957,8 ARIANAD,3 RAMACHANDRAN NAIR K. G.,M,,,RSP,5351.0
167353,KERALA,1957,8 ARIANAD,4 THOMPSON JOSEPH,M,,,IND,4383.0
167354,KERALA,1957,9 NEDUMANGAD,1 NEELAKANDARU PANDARATHIL N.,M,,,CPI,20553.0
167355,KERALA,1957,9 NEDUMANGAD,2 SOMASEKHARAN NAIR K.,M,,,PSP,7888.0
167356,KERALA,1957,9 NEDUMANGAD,3 AHAMMED KANNU M.,M,,,INC,3700.0
167357,KERALA,1957,9 NEDUMANGAD,4 SUBBIAH PILLAI A.,M,,,IND,2754.0
167358,KERALA,1957,10 ATTINGAL,1 PRAKASAM R.,M,,,CPI,24328.0
167359,KERALA,1957,10 ATTINGAL,2 GOPALA PILLAI,M,,,PSP,11151.0
167360,KERALA,1957,10 ATTINGAL,3 VASUKUTTY P.,M,,,INC,7919.0
167361,KERALA,1957,11 VARKALA,1 ABDUL MAJEED T. A.,M,,,CPI,41683.0
167362,KERALA,1957,11 VARKALA,2 SIVADASAN K. (SC),M,,,CPI,31454.0
167363,KERALA,1957,11 VARKALA,3 KRISHNA PILLAI R.,M,,,INC,20870.0
167364,KERALA,1957,11 VARKALA,4 GOPALAN K. (SC),M,,,INC,15464.0
167365,KERALA,1957,11 VARKALA,5 KUNJUKRISHNAN P. (SC),M,,,RSP,14578.0
167366,KERALA,1957,11 VARKALA,6 KUNJAN P. (SC),M,,,PSP,9855.0
167367,KERALA,1957,11 VARKALA,7 SREEKANTAN NAIR C. N.,M,,,RSP,9555.0
167368,KERALA,1957,11 VARKALA,8 GANGADHARAN O.,M,,,IND,2333.0
167369,KERALA,1957,12 ERAVIPURAM,1 RAVEENDRAN,M,,,CPI,19122.0
167370,KERALA,1957,12 ERAVIPURAM,2 KUNJU SANKARA PILLAI V.,M,,,PSP,8762.0
167371,KERALA,1957,12 ERAVIPURAM,3 RAMACHANDRAN P.,M,,,INC,7467.0
167372,KERALA,1957,12 ERAVIPURAM,4 BALAKRISHNAN K.,M,,,RSP,5197.0
167373,KERALA,1957,12 ERAVIPURAM,5 REGIS PUNNASLERY,M,,,IND,1163.0
167374,KERALA,1957,12 ERAVIPURAM,6 MOHAMMED BASHEER M. N.,M,,,IND,1144.0
167375,KERALA,1957,13 QUILON,1 A. A. RAHIM,M,,,INC,20367.0
167376,KERALA,1957,13 QUILON,2 DIVAKARAN T. K.,M,,,RSP,12571.0
167377,KERALA,1957,13 QUILON,3 CHITHARANJAN .J,M,,,CPI,11817.0
167378,KERALA,1957,13 QUILON,4 GOVINDA PILLAI M.,M,,,IND,2154.0
167379,KERALA,1957,14 THRIKKADAVUR,1 KARUNAKARAN K. (SC),M,,,CPI,33782.0
167380,KERALA,1957,14 THRIKKADAVUR,2 T. KRISHNAN (SC),M,,,INC,32596.0
167381,KERALA,1957,14 THRIKKADAVUR,3 SUKUMARAN P. K.,M,,,CPI,28602.0
167382,KERALA,1957,14 THRIKKADAVUR,4 C. M. STEPHEN,M,,,INC,26193.0
167383,KERALA,1957,14 THRIKKADAVUR,5 CHANDRASEKHARAN,M,,,RSP,24556.0
167384,KERALA,1957,14 THRIKKADAVUR,6 PRAKULAM BHASI. P,M,,,RSP,19692.0
167385,KERALA,1957,15 KARUNAGAPALLY,1 KUNJUKRISHNAN P.,M,,,INC,13709.0
167386,KERALA,1957,15 KARUNAGAPALLY,2 P. K. KUNJU,M,,,PSP,13063.0
167387,KERALA,1957,15 KARUNAGAPALLY,3 BABY JOHN,M,,,RSP,12307.0
167388,KERALA,1957,15 KARUNAGAPALLY,4 JANARDHANA KURUP G.,M,,,CPI,11369.0
167389,KERALA,1957,16 KRISHNAPURAM,1 KARTHIKEYAN G.,M,,,CPI,23963.0
167390,KERALA,1957,16 KRISHNAPURAM,2 SEKHARA PANICKER K.,M,,,INC,14493.0
167391,KERALA,1957,16 KRISHNAPURAM,3 IBRAHIMKUTTY C. M.,M,,,PSP,6707.0
167392,KERALA,1957,16 KRISHNAPURAM,4 YESODHARAN P. K.,M,,,RSP,1462.0
167393,KERALA,1957,17 KAYAMKULAM,1 AYSHA BAI K. O.,F,,,CPI,27067.0
167394,KERALA,1957,17 KAYAMKULAM,2 SAROJINI,F,,,INC,13138.0
167395,KERALA,1957,17 KAYAMKULAM,3 KUNJUKRISHNA PILLAI P.,M,,,PSP,10262.0
167396,KERALA,1957,18 KARTHIGAPALLY,1 SUGATHAN R.,M,,,CPI,20978.0
167397,KERALA,1957,18 KARTHIGAPALLY,2 VELU PILLAI G.,M,,,INC,14887.0
167398,KERALA,1957,18 KARTHIGAPALLY,3 ACHUTHAN A.,M,,,PSP,8520.0
167399,KERALA,1957,18 KARTHIGAPALLY,4 KUMARA PILLAI K. K.,M,,,RSP,3419.0
167400,KERALA,1957,19 HARIPAD,1 RAMAKRISHNA PILLAI V.,M,,,IND,20184.0
167401,KERALA,1957,19 HARIPAD,2 K. BALAGANGADHARAN,M,,,INC,15812.0
167402,KERALA,1957,19 HARIPAD,3 E. S. ALEXANDER,M,,,PSP,6249.0
167403,KERALA,1957,20 MAVELIKARA,1 KUNJACHAN P. K. (SC),M,,,CPI,44630.0
167404,KERALA,1957,20 MAVELIKARA,2 K. C. GEORGE,M,,,CPI,39617.0
167405,KERALA,1957,20 MAVELIKARA,2 K. C. GEORGE,M,,,CPI,39617.0
167406,KERALA,1957,20 MAVELIKARA,3 T. KANDAN KALI (SC),M,,,INC,21901.0
167407,KERALA,1957,20 MAVELIKARA,4 DANIEL M.,M,,,INC,19799.0
167408,KERALA,1957,20 MAVELIKARA,5 GOPINATHAN PILLAI G.,M,,,PSP,11877.0
167409,KERALA,1957,20 MAVELIKARA,6 N. KOCHURAMAN (SC),M,,,RSP,7661.0
167410,KERALA,1957,20 MAVELIKARA,7 N. S. PURUSHOTHAMAN (SC),M,,,PSP,5233.0
167411,KERALA,1957,20 MAVELIKARA,8 KUNJU KUNJU T. T. (SC),M,,,IND,4040.0
167412,KERALA,1957,20 MAVELIKARA,9 B. B. PANDARATHIL,M,,,RSP,3928.0
167413,KERALA,1957,21 KUNNATHUR,1 MADHAVAN PILLAI P. R.,M,,,CPI,41569.0
167414,KERALA,1957,21 KUNNATHUR,2 GOVINDAN R. (SC),M,,,CPI,37321.0
167415,KERALA,1957,21 KUNNATHUR,3 VELAYUDHAN NAIR K.,M,,,INC,29389.0
167416,KERALA,1957,21 KUNNATHUR,4 C. ACHUTHAN (SC),M,,,INC,25982.0
167417,KERALA,1957,21 KUNNATHUR,5 KRISHNA SASTRI K. S. (SC),M,,,RSP,11698.0
167418,KERALA,1957,21 KUNNATHUR,6 GOPALAN NAIR K.,M,,,PSP,10542.0
167419,KERALA,1957,21 KUNNATHUR,7 PHILIPOSE MUTHALALI N. P.,M,,,RSP,8092.0
167420,KERALA,1957,21 KUNNATHUR,8 KOCHUKUNJU (SC),M,,,PSP,5136.0
167421,KERALA,1957,22 KOTTARAKKARA,1 CHANDRASEKHARAN NAIR E.,M,,,CPI,23298.0
167422,KERALA,1957,22 KOTTARAKKARA,2 RAMACHANDRAN NAIR K.,M,,,INC,14307.0
167423,KERALA,1957,22 KOTTARAKKARA,3 VASUDEVAN C. V.,M,,,RSP,7101.0
167424,KERALA,1957,23 CHADAYAMANGALAM,1 BHARGAVAN K.,M,,,CPI,19375.0
167425,KERALA,1957,23 CHADAYAMANGALAM,2 ABDUL MAJEED M.,M,,,PSP,9143.0
167426,KERALA,1957,23 CHADAYAMANGALAM,3 ABBAS M.,M,,,INC,6663.0
167427,KERALA,1957,23 CHADAYAMANGALAM,4 CHANDRASEKHARAN PILLAI,M,,,RSP,2082.0
167428,KERALA,1957,24 PATHANAPURAM,1 RAJAGOPALAN NAIR,M,,,CPI,24499.0
167429,KERALA,1957,24 PATHANAPURAM,2 KUTTAN PILLAI K.,M,,,INC,14440.0
167430,KERALA,1957,24 PATHANAPURAM,3 DAMODARAN POTTI D.,M,,,PSP,9973.0
167431,KERALA,1957,24 PATHANAPURAM,4 RAGHAVAN PILLAI K. P.,M,,,RSP,1109.0
167432,KERALA,1957,25 PUNALUR,1 GOPALAN P.,M,,,CPI,20455.0
167433,KERALA,1957,25 PUNALUR,2 KUNJURAMAN ASSAN K.,M,,,INC,16366.0
167434,KERALA,1957,25 PUNALUR,3 MADHAVAN N.,M,,,RSP,1130.0
167435,KERALA,1957,26 RANNI,1 IDICULA,M,,,INC,23308.0
167436,KERALA,1957,26 RANNI,2 THOMAS MATHEW,M,,,IND,20722.0
